Dataset,Share,Base acc %,New acc %
FGVCAircraft,Base equal,34.15,35.27
Caltech101,Base equal,97.8,94.1
OxfordFlowers,Base equal,91.26,73.4
OxfordPets,Base equal,94.5,97.03
FGVCAircraft,Base 3x larger,27.18,44.18
Caltech101,Base 3x larger,96.15,99.16
OxfordFlowers,Base 3x larger,90.17,75.3
OxfordPets,Base 3x larger,93.39,97.98
FGVCAircraft,Base 4x larger,30.32,47.06
Caltech101,Base 4x larger,96.59,98.95
OxfordFlowers,Base 4x larger,84.1,78.6
OxfordPets,Base 4x larger,90.76,99.43
FGVCAircraft,Base 5x larger,29.33,49.18
Caltech101,Base 5x larger,95.78,99.256
OxfordFlowers,Base 5x larger,78.12,80.51
OxfordPets,Base 5x larger,92.38,99.56
